url_abs,centro,position,scraped_at
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6147,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:11+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4529,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:12+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4529,FACULTAD DE DERECHO,2,2026-01-16T13:41:12+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4209,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:13+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4522,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,1,2026-01-16T13:41:14+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4522,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:41:14+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4522,FACULTAD DE CIENCIAS DEL TRABAJO,3,2026-01-16T13:41:14+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4522,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,4,2026-01-16T13:41:14+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4522,FACULTAD DE DERECHO,5,2026-01-16T13:41:14+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=9162,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:15+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=9162,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:41:15+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3997,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:16+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3997,FACULTAD DE CIENCIAS DEL TRABAJO,2,2026-01-16T13:41:16+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17756,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:18+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17756,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:41:18+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14855,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:19+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14855,FACULTAD DE DERECHO,2,2026-01-16T13:41:19+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14855,FACULTAD DE TURISMO Y FINANZAS,3,2026-01-16T13:41:19+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12567,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,1,2026-01-16T13:41:22+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12567,"FACULTAD DE ENFERMERÍA, FISIOTERAPIA Y PODOLOGÍA",2,2026-01-16T13:41:22+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12567,FACULTAD DE TURISMO Y FINANZAS,3,2026-01-16T13:41:22+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12567,FACULTAD DE DERECHO,4,2026-01-16T13:41:22+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12567,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,5,2026-01-16T13:41:22+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6098,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:23+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6098,FACULTAD DE DERECHO,2,2026-01-16T13:41:23+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6098,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,3,2026-01-16T13:41:23+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6098,FACULTAD DE CIENCIAS DEL TRABAJO,4,2026-01-16T13:41:23+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17657,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:24+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17657,FACULTAD DE DERECHO,2,2026-01-16T13:41:24+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18246,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:25+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18246,FACULTAD DE DERECHO,2,2026-01-16T13:41:25+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15082,FACULTAD DE CIENCIAS DEL TRABAJO,1,2026-01-16T13:41:26+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15082,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:41:26+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3513,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:27+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3513,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:41:27+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6309,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:28+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6309,FACULTAD DE DERECHO,2,2026-01-16T13:41:28+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6309,FACULTAD DE TURISMO Y FINANZAS,3,2026-01-16T13:41:28+00:00
